iter	Passed	Remaining
627	4097	2427
628	4104	2420
629	4108	2413
630	4113	2405
631	4127	2403
632	4134	2396
633	4139	2389
634	4144	2382
635	4152	2376
636	4159	2370
637	4168	2365
638	4173	2357
639	4178	2350
640	4187	2345
641	4192	2337
642	4199	2331
643	4204	2324
644	4209	2316
645	4217	2310
646	4221	2303
647	4226	2296
648	4253	2300
649	4260	2293
650	4267	2287
651	4272	2280
652	4279	2273
653	4284	2266
654	4289	2259
655	4296	2253
656	4302	2246
657	4308	2239
658	4314	2232
659	4319	2225
660	4325	2218
661	4331	2211
662	4336	2204
663	4343	2197
664	4348	2190
665	4352	2182
666	4359	2176
667	4364	2169
668	4369	2162
669	4376	2155
670	4381	2148
671	4386	2141
672	4393	2134
673	4398	2127
674	4403	2120
675	4421	2119
676	4429	2113
677	4436	2106
678	4443	2100
679	4449	2093
680	4456	2087
681	4461	2080
682	4466	2073
683	4473	2066
684	4478	2059
685	4483	2052
686	4490	2045
687	4495	2038
688	4500	2031
689	4507	2024
690	4512	2017
691	4517	2010
692	4523	2004
693	4528	1996
694	4533	1989
695	4554	1989
696	4561	1982
697	4566	1975
698	4584	1974
699	4592	1968
700	4598	1961
701	4604	1954
702	4610	1947
703	4615	1940
704	4621	1933
705	4626	1926
706	4631	1919
707	4637	1912
708	4642	1905
709	4647	1898
710	4655	1892
711	4660	1885
712	4667	1878
713	4672	1871
714	4677	1864
715	4684	1857
716	4688	1850
717	4694	1843
718	4700	1837
719	4705	1830
720	4711	1823
721	4718	1816
722	4723	1809
723	4729	1802
724	4735	1796
725	4740	1789
726	4747	1782
727	4752	1775
728	4757	1768
729	4764	1762
730	4769	1754
731	4774	1747
732	4780	1741
733	4785	1734
734	4790	1727
735	4796	1720
736	4801	1713
737	4806	1706
738	4813	1699
739	4818	1693
740	4823	1685
741	4830	1679
742	4836	1672
743	4842	1666
744	4849	1659
745	4854	1652
746	4860	1646
747	4866	1639
748	4871	1632
749	4877	1625
750	4883	1619
751	4887	1611
752	4894	1605
753	4899	1598
754	4904	1591
755	4911	1585
756	4916	1578
757	4921	1571
758	4927	1564
759	4932	1557
760	4936	1550
761	4943	1544
762	4948	1537
763	4953	1530
764	4960	1523
765	4965	1516
766	4970	1509
767	4976	1503
768	4981	1496
769	4986	1489
770	5009	1487
771	5016	1481
772	5023	1475
773	5028	1468
774	5033	1461
775	5040	1454
776	5045	1447
777	5050	1441
778	5056	1434
779	5061	1427
780	5067	1420
781	5073	1414
782	5078	1407
783	5086	1401
784	5092	1394
785	5097	1387
786	5104	1381
787	5109	1374
788	5115	1368
789	5122	1361
790	5128	1355
791	5138	1349
792	5143	1342
793	5148	1335
794	5156	1329
795	5161	1322
796	5169	1316
797	5174	1309
798	5179	1303
799	5186	1296
800	5191	1289
801	5196	1282
802	5203	1276
803	5208	1269
804	5213	1262
805	5220	1256
806	5225	1249
807	5234	1243
808	5239	1237
809	5245	1230
810	5252	1224
811	5257	1217
812	5264	1210
813	5269	1204
814	5274	1197
815	5281	1190
816	5286	1184
817	5291	1177
818	5299	1171
819	5303	1164
820	5309	1157
821	5315	1151
822	5320	1144
823	5325	1137
824	5332	1131
825	5336	1124
826	5342	1117
827	5349	1111
828	5354	1104
829	5361	1098
830	5366	1091
831	5372	1084
832	5379	1078
833	5384	1071
834	5389	1065
835	5396	1058
836	5401	1051
837	5407	1045
838	5413	1038
839	5418	1032
840	5425	1025
841	5430	1019
842	5436	1012
843	5443	1006
844	5448	999
845	5453	992
846	5461	986
847	5467	979
848	5472	973
849	5478	966
850	5482	959
851	5487	953
852	5497	947
853	5503	940
854	5509	934
855	5514	927
856	5519	920
857	5525	914
858	5530	907
859	5535	901
860	5542	894
861	5547	888
862	5554	881
863	5560	875
864	5565	868
865	5573	862
866	5578	855
867	5583	849
868	5589	842
869	5594	836
870	5599	829
871	5606	822
